Tên sách,Giá,Đã bán,Đánh giá,Link hình ảnh,Nội dung
Truyện Tranh - Giờ trà của Zero - Thám tử lừng danh Conan,31500,322,4.87,https://down-vn.img.susercontent.com/file/sg-11134201-22110-iqewo90wm0jv83_tn,"Bộ sách: Thám tử lừng danh Conan - Giờ trà của ZeroGIỜ TRÀ CỦA ZERO - ZERO'S TEA TIME - Một trong những ngoại truyện đặc sắc về nhân vật Toru Amuro trong ""Thám tử lừng danh Conan""!!
Combo Thám Tử Lừng Danh Conan - Giờ Trà Của Zero (3 Cuốn) gồm:
Thám Tử Lừng Danh Conan - Giờ Trà Của Zero Tập 1 - Tập 3 "
Bộ Sách _ Kĩ Năng Xã Hội Cho Học Sinh Tiểu Học,77400,14,4.75,https://down-vn.img.susercontent.com/file/99d118ce49d16cf66f888e6e9c333457_tn,"Cuốn sách ""Kiểm soát cảm xúc"" trong bộ ""Kĩ năng xã hội cho học sinh tiểu học"" rèn luyện năng lực xử lí tình huống căng thẳng và tranh chấp. Với 6 chương, sách phân tích 36 tình huống thường gặp và bài tập thay đổi nhận thức. Trẻ biến áp lực thành động lực, vượt qua cảm xúc tiêu cực để thành công trong học tập và phát triển bản thân."
Bộ Sách - Thử tài thám tử ( Bộ 2 quyển ) - Nxb Kim Đồng,58500,7,5.0,https://down-vn.img.susercontent.com/file/0fc7ed93feca21bef01ae35cf626c02d_tn,Cuốn sách này giải mã những bí ẩn và vấn đề thông qua khả năng quan sát và tri thức về tự nhiên. Chìa khóa của mọi vấn đề thường nằm trong chi tiết bình thường. Hãy trổ tài thám tử và giải mã các bí ẩn qua câu chuyện về động vật và thực vật.
Sách - Thăng Long Kinh Kì - Kẻ Chợ ( 2 Cuốn ),54000,46,5.0,https://down-vn.img.susercontent.com/file/f1bfe23f606e8e6953991c02646f4e66_tn,"""Hà Nội, Từ Thăng Long đến Kẻ Chợ"" là bộ sách tái hiện văn hóa và phong tục của Hà Nội xưa. Kẻ Chợ là biểu tượng truyền thống của thành phố, tiếp nối trong lịch sử từ Thăng Long. Sách khám phá cuộc sống xã hội, văn hóa và quần thể phố phường, với sự ngưỡng mộ của giáo sĩ Alexandre de Rhodes."
Sách - Sổ tay thí nghiệm siêu đơn giản - Khoa học vui cho học sinh Tiểu Học ( Tập 1 và Tập 2 ),88200,32,5.0,https://down-vn.img.susercontent.com/file/ba8c9e968e9cac570a4614a56e180ffc_tn,"Khoa học chứa đựng trong mọi thứ xung quanh ta. Không cần phải phức tạp, thí nghiệm khoa học có thể thực hiện mỗi ngày. Quan sát và khám phá những điều nhỏ bé, bạn sẽ hiểu nguyên lí khoa học dễ dàng hơn. Cùng Aso trở thành vua của vương quốc khoa học vui vẻ và thú vị!"
Sách - Bách Khoa Thư Cho Trẻ Từ 3-6 Tuổi,171000,47,5.0,https://down-vn.img.susercontent.com/file/42baa3851fd38db926bde52d383357fe_tn,"BÁCH KHOA THƯ CHO TRẺ TỪ 3 ĐẾN 6 TUỔI, sách gần gũi với trẻ và phụ huynh. Câu hỏi kèm giải thích dễ hiểu, hình ảnh sáng tạo, màu sắc tươi sáng. Nắm vững tri thức cơ bản, trẻ phát triển tư duy nhạy bén, kết nối các chi tiết đời sống. Sách cũng là cẩm nang tìm hiểu thế giới. Thiết kế tương tác, sáng tạo, khéo léo."
Sách - Kinh Nghiệm Từ Nước Nhật - 42 Bí Quyết Giúp Trẻ Tự Tin Và Dũng Cảm Trong Quan Hệ bạn Bè,55800,17,5.0,https://down-vn.img.susercontent.com/file/c51117355b499326de7e0455548fee9f_tn,Sách Kĩ năng cho trẻ
Sách - Thành Công Ký Sự Của Kira,45000,14,5.0,https://down-vn.img.susercontent.com/file/b920b35cbc58ef4afebde081befe71e2_tn,"Kira đến California, đối mặt với thách thức và hiểm nguy. Cô học cách quản lí tiền và phát triển bản thân. Có sự hỗ trợ của Goldstern, Weiss, Monika, Marcel và người bạn mới. Chú chó Money luôn trung thành."
Bộ Sách - Hồ Sơ Mật ( 5 Cuốn ),40500,71,5.0,https://down-vn.img.susercontent.com/file/432e850d3d2ec2ec24b9bfd5a1074604_tn,"Loài mãng xà dưới biển hay hồ sâu có bí ẩn thực sự? Khoa học cần tiếp cận như thế nào? Cuốn sách muốn khám phá và gợi mở sự tò mò của độc giả, phân tích hiện tượng kì bí một cách khoa học. Bí ẩn luôn hấp dẫn, kích thích giác quan, khơi gợi ham muốn khám phá và tư duy của mỗi người."
Truyện tranh - Danh nhân thế giới ( TB 2023 ),27000,869,4.98,https://down-vn.img.susercontent.com/file/ee65aaf705000c11c8ef71588e83ea8b_tn,Câu chuyện về cuộc đời của các danh nhân nổi tiếng thế giới dưới hình thức truyện tranh sinh động giúp các em nhỏ hiểu hơn về hành trình trở thành những vĩ nhân của họ.
Bộ Sách Lẻ - Khủng Long ( 2020 ),43200,56,4.81,https://down-vn.img.susercontent.com/file/0b25b7e6f915754964ef2379ba3cf9b6_tn,Sách tranh của tác giả Alison Limentani
Sách - Vừa Học Vừa Chơi: Những Loài Vật Bé Nhỏ,108000,12,5.0,https://down-vn.img.susercontent.com/file/f770a1d34475d261c3d4587b34f9796f_tn,"Lật, đẩy, xoay, trượt… thật thú vị biết bao!
Cùng khám phá thế giới quanh em với cuốn sách diệu kì này nhé!"
Sách - Bách Khoa Thư Bằng Hình - Tri Thức Bách Khoa Trên Từng Trang Sách,495000,22,5.0,https://down-vn.img.susercontent.com/file/ac1cf722c9ec291b73a9a7d026b0be03_tn,"Từ những loài  côn trùng và khủng long ăn thịt kì thú tới đá quý và La Mã cổ đại, BÁCH KHOA THƯ BẰNG HÌNH mang đến cho bạn cả thế giới tri thức trên mỗi trang sách.
Với hơn 10.000 hình ảnh và thông tin hấp dẫn về khoa học, tự nhiên, văn hóa, thể thao và lịch sử, BÁCH KHOA THƯ BẰNG HÌNH là cuốn sách giáo khoa hình ảnh ai cũng cần phải có."
Sách - Tranh truyện Ehon Nhật Bản: Tớ yêu cơ thể mình 8: Hệ xương khớp chắc khỏe,40500,6,4.0,https://down-vn.img.susercontent.com/file/065ff7863cb4e0889543965437a62aca_tn,"“Tớ yêu cơ thể mình” là bộ sách Ehon Nhật Bản dạy bé yêu thương và bảo vệ cơ thể. Bài học nhẹ nhàng từ những người xung quanh. Hình ảnh lớn, trực quan. Xương là trụ cột, có thể uốn éo. Vận động, ăn uống đủ, ngủ đều giúp có xương khỏe."
"Kim Đồng - Sách Lẻ -  Những người sống quanh em: Bé nhận biết nghề nghiệp phổ biến ở Việt Nam ( Tập 1,2,3,4,5 )",90000,16,5.0,https://down-vn.img.susercontent.com/file/22c232f131e58bc58889ea0188fea272_tn,Bách khoa toàn thư thu nhỏ về các nghề phổ biến ở Việt Nam được thể hiện bằng tranh và các câu chuyện dễ thương.
Sách - Thiện và Ác và Cổ tích - Nxb Kim Đồng,269100,17,4.89,https://down-vn.img.susercontent.com/file/9a59f82fce98b8d38e745f057912039b_tn,"Các truyện cổ tích có hai phe Thiện và Ác. Mô típ lặp lại đánh thức sự tìm tòi so sánh văn hóa. Xem tranh, nhận biết tính cách và hành động của nhân vật. Tìm câu chuyện cùng mô típ và kể lại theo cách riêng. Truyện cổ Việt Nam với đọc mới, tranh đẹp. Mời bạn khám phá thế giới của câu chuyện cổ tích."
Sách - Làm sao để dựng máy bay,58500,6,5.0,https://down-vn.img.susercontent.com/file/36e6a35ca9639e2ed6737b0fda183d76_tn,"""Cả đêm trằn trọc không ngủ được, tại sao chúng ta không dựng máy bay?"" ""Hơi kì cục, một con chim dựng máy bay?"" Đó là cách bắt đầu câu chuyện thứ hai. Độc giả sẽ biết cách máy bay bay trên không, điều khiển và dụng cụ cần có. Nhóm bạn sẽ đối mặt với khó khăn về kỹ thuật, sợ hãi và nguy hiểm. Họ không trêu chọc nhau, nhưng sẽ hỗ trợ lẫn nhau trong khi đối mặt với nguy hiểm."
Sách - Kỳ quan thế giới,130500,8,5.0,https://down-vn.img.susercontent.com/file/256cc82d46c731755e43af0068148793_tn,Bảy kỳ quan thế giới là gì? - Vết tích nào của ngọn đèn biển Alexandria? - Tại sao tháp Pisa nghiêng? - Nữ thần Tự do vận chuyển như thế nào? - tháp Eiffel xây dựng thế nào? - Lăng Taj Mahal ẩn chứa gì? - Ai xây thành phố Machu Picchu? - Những tháp cao nhất thế giới là gì? Tất cả được giải đáp trong sách với minh họa phong phú. Khám phá vô vàn thắng cảnh đẹp nhất thế giới.
Sách - Trầm cảm - Sát thủ thầm lặng - Nxb Kim Đồng,72000,17,4.93,https://down-vn.img.susercontent.com/file/72c901a24d03eab48f6e75cf3995490d_tn,"Trầm cảm tương tự mất người thân yêu, nỗi đau không phai đi. Bệnh hút sức sống, nuốt chửng tôi trong tối tăm. Tôi cảm thấy trống rỗng, tê liệt, không kết nối. Muốn biến mất khỏi thế giới này... ""Trầm cảm - Sát thủ thầm lặng"" trả lời về trầm cảm: khám phá, ngăn ngừa, và điều trị. Gia đình và cộng đồng đóng vai trò quan trọng trong cuộc chiến này."
Sách - Những thí nghiệm đơn giản bạn có thể làm ở nhà - Tập 2 - ( Nxb Kim Đồng),50400,16,4.83,https://down-vn.img.susercontent.com/file/e51f2310b886ed9a7b27755bc1d97bd4_tn,"Bộ những thí nghiệm đơn giản có thể thực hiện ở nhà cho thiếu nhi. Bao gồm nhiều chủ đề khác nhau như nước, thực vật, không khí"
Truyện - Ngụ Ngôn Thế Giới Hay Nhất - Tập 2 - Nxb Kim Đồng,104400,16,4.5,https://down-vn.img.susercontent.com/file/d4f3dc1a0b5462d7476678d88538b89d_tn,"Từ chút chít, chiêm chiếp đến gầm gừ, gào rú… đời sống muôn loài lần lượt xuất hiện trong những tập sách xinh đẹp này.
Nhà xuất bản Kim Đồng trân trọng giới thiệu đến bạn đọc kho tàng những điều kì thú từ động vật do người kể chuyện được yêu mến nhất nước Anh, Michael Morpurgo, tuyển chọn."
